record_id,source_file,run_group,backend,model,case_set,case_name,category,status,expected_outcome,all_required_context,evidence_consistent,route_observed,planner_request_observed,execution_feedback_observed,clarification_observed,failure_observed,replan_observed,fallback_total,target_selection_count,executed_skill_count,spoken_text_count,reasons,attribution_class
nao_qwenvl_a0_smoke#1,ablations/nao_qwenvl_a0_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,simple_dialogue_hey,simple_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a0_smoke#2,ablations/nao_qwenvl_a0_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,kb_visible_now,kb_query_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a0_smoke#3,ablations/nao_qwenvl_a0_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,kb_injected_object_name,kb_query_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a0_smoke#4,ablations/nao_qwenvl_a0_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,simple_wave,simple_skill_execution,pass,observe,false,true,true,true,true,false,false,false,0,0,2,2,matched expected trajectory,stack_coherent_success
nao_qwenvl_a0_smoke#5,ablations/nao_qwenvl_a0_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,composite_head_wave,composite_skill_execution,pass,observe,false,true,true,true,true,false,false,false,0,0,3,2,matched expected trajectory,stack_coherent_success
nao_qwenvl_a0_smoke#6,ablations/nao_qwenvl_a0_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,reflective_followup,simple_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a0max_capability#1,ablations/nao_qwenvl_a0max_capability.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,capability_extreme,extreme_all_objects_visit_look_wave_sit,capability_extreme_execution,fail,execute_no_clarification,true,true,true,true,false,false,true,false,0,1,0,1,"expected planner request and execution feedback | missing ordered skills: perform_motion,navigate_to,look_at,wave_greet,perform_motion,report_result; observed=<none>",model_or_backend_variance
nao_qwenvl_a1r_smoke#1,ablations/nao_qwenvl_a1r_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,simple_dialogue_hey,simple_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a1r_smoke#2,ablations/nao_qwenvl_a1r_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,kb_visible_now,kb_query_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a1r_smoke#3,ablations/nao_qwenvl_a1r_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,kb_injected_object_name,kb_query_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a1r_smoke#4,ablations/nao_qwenvl_a1r_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,simple_wave,simple_skill_execution,pass,observe,false,true,true,true,true,false,false,false,0,0,2,2,matched expected trajectory,stack_coherent_success
nao_qwenvl_a1r_smoke#5,ablations/nao_qwenvl_a1r_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,composite_head_wave,composite_skill_execution,pass,observe,false,true,true,true,true,false,false,false,0,0,3,2,matched expected trajectory,stack_coherent_success
nao_qwenvl_a1r_smoke#6,ablations/nao_qwenvl_a1r_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,reflective_followup,simple_dialogue,fail,dialogue_only,false,true,true,false,false,false,false,false,0,0,0,1,robot speech omitted grounded terms: four,model_or_backend_variance
nao_qwenvl_a2_smoke#1,ablations/nao_qwenvl_a2_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,simple_dialogue_hey,simple_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a2_smoke#2,ablations/nao_qwenvl_a2_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,kb_visible_now,kb_query_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a2_smoke#3,ablations/nao_qwenvl_a2_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,kb_injected_object_name,kb_query_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a2_smoke#4,ablations/nao_qwenvl_a2_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,simple_wave,simple_skill_execution,pass,observe,false,true,true,true,true,false,false,false,0,0,2,2,matched expected trajectory,stack_coherent_success
nao_qwenvl_a2_smoke#5,ablations/nao_qwenvl_a2_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,composite_head_wave,composite_skill_execution,pass,observe,false,true,true,true,true,false,false,false,0,0,3,2,matched expected trajectory,stack_coherent_success
nao_qwenvl_a2_smoke#6,ablations/nao_qwenvl_a2_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,reflective_followup,simple_dialogue,fail,dialogue_only,false,true,true,false,false,false,false,false,0,0,0,1,robot speech omitted grounded terms: four,model_or_backend_variance
nao_qwenvl_a3_capability#1,ablations/nao_qwenvl_a3_capability.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,capability_extreme,extreme_all_objects_visit_look_wave_sit,capability_extreme_execution,fail,execute_no_clarification,true,true,true,true,false,false,true,false,0,1,0,1,"expected planner request and execution feedback | missing ordered skills: perform_motion,navigate_to,look_at,wave_greet,perform_motion,report_result; observed=<none>",model_or_backend_variance
nao_qwenvl_a4_smoke#1,ablations/nao_qwenvl_a4_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,simple_dialogue_hey,simple_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a4_smoke#2,ablations/nao_qwenvl_a4_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,kb_visible_now,kb_query_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
nao_qwenvl_a4_smoke#3,ablations/nao_qwenvl_a4_smoke.json,ablations,openai_compatible,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,smoke,kb_injected_object_name,kb_query_dialogue,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
