source_artifact,case_set,case_id,category,status,expected_outcome,turn_injected,route_observed,planner_request_observed,target_selection_observed,execution_feedback_observed,failure_observed,replan_observed,terminal_observed,speech_observed,post_terminal_speech_observed,fallback_total,assessment_reasons
nao_main_20260713_heavy_changes_clean.json,main,dialogue_greeting,simple_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,2,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,dialogue_favorite_movie,simple_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,2,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,dialogue_movie_followup,simple_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,dialogue_weekend_plans,simple_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,dialogue_speed_of_light,simple_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,kb_visible_now_baseline,kb_query_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,kb_probe_scene_update,kb_query_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,kb_object_on_table,kb_query_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,kb_cup_name,kb_query_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,kb_multi_object_count,kb_query_dialogue,pass,observe,True,True,False,,False,False,False,False,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,skill_head_up,simple_skill_execution,pass,observe,True,True,True,,True,False,False,True,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,skill_pick_phone_generic,simple_fake_skill_execution,pass,observe,True,True,True,,True,False,False,True,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,skill_pick_object_on_table,simple_fake_skill_execution,pass,observe,True,True,True,,True,False,False,True,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,skill_look_at_person,simple_skill_execution,pass,observe,True,True,True,,True,False,False,True,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,kb_mutation_add_red_cup,kb_mutation_dialogue,pass,observe,True,True,True,,True,True,True,True,True,True,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,composite_head_all_directions,composite_skill_execution,pass,observe,True,True,True,,True,True,False,True,True,False,2,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,composite_bring_every_object_to_person,composite_fake_skill_execution,pass,observe,True,True,True,,True,True,False,True,True,False,0,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,maximal_kitchen_cup_to_operator,maximal_semantic_execution,pass,observe,True,True,True,,True,True,False,True,True,False,2,matched expected trajectory
nao_main_20260713_heavy_changes_clean.json,main,composite_go_to_person_wave_report,composite_skill_execution,pass,observe,True,True,True,,True,True,False,True,True,False,0,matched expected trajectory
