record_id,run_id,run_date,runtime_image,runtime_image_id,source_file,case_set,case_name,category,failure_profile,case_role,status,expected_outcome,all_required_context,planner_request_observed,execution_feedback_observed,failure_observed,replan_observed,terminal_observed,speech_observed,post_terminal_speech_observed,fallback_total,failure_site,observed_failure_stage,classification_confidence,position_basis,failure_step_names,plan_event_trace,reasons
F13_semantic_audit:nao_adversarial_language_20260713_heavy_changes:1,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_adversarial_language_20260713_heavy_changes.json,,paraphrased_group_delivery,,none,other_qwen3vl_evidence,not_scored,,,true,true,true,true,true,true,true,0,,not_targeted,high,Not a selected failure-position target.,"navigate_to,find_object",plan_1783979845440 [plan_accepted step_started:scan step_succeeded:scan step_started:find_object step_succeeded:find_object step_started:pick_object step_succeeded:pick_object step_started:navigate_to step_failed:navigate_to plan_accepted step_started:scan step_succeeded:scan step_started:find_object step_succeeded:find_object step_started:pick_object step_succeeded:pick_object step_started:navigate_to step_failed:navigate_to] | planner_gate [planner_gate_accepted] | plan_1783979839991 [plan_accepted step_started:find_object step_succeeded:find_object step_started:find_object step_failed:find_object],
F13_semantic_audit:nao_adversarial_language_20260713_heavy_changes:2,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_adversarial_language_20260713_heavy_changes.json,,person_in_view_no_unrelated_action,,none,other_qwen3vl_evidence,not_scored,,,true,true,true,true,true,true,true,1,,not_targeted,high,Not a selected failure-position target.,find_object,plan_1783979895945 [plan_accepted step_started:find_object step_failed:find_object plan_accepted step_started:find_object step_failed:find_object],
F13_semantic_audit:nao_adversarial_language_20260713_heavy_changes:3,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_adversarial_language_20260713_heavy_changes.json,,execution_readiness_then_act,,none,other_qwen3vl_evidence,not_scored,,,true,true,false,false,true,true,false,0,,not_targeted,high,Not a selected failure-position target.,,plan_1783979950167 [step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object step_started:report_result step_succeeded:report_result plan_completed plan_accepted step_started:inspect_area step_succeeded:inspect_area step_started:find_object step_succeeded:find_object step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object step_started:report_result step_succeeded:report_result plan_completed],
F13_semantic_audit:nao_adversarial_language_20260713_heavy_changes:4,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_adversarial_language_20260713_heavy_changes.json,,multiturn_recipient_context,,none,other_qwen3vl_evidence,not_scored,,,true,true,true,true,true,true,true,0,,not_targeted,high,Not a selected failure-position target.,kb_add,plan_1783980005388 [plan_accepted step_started:kb_add step_failed:kb_add plan_accepted step_started:kb_add step_failed:kb_add],
F13_semantic_audit:nao_adversarial_language_20260713_heavy_changes:5,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_adversarial_language_20260713_heavy_changes.json,,multiturn_execute_followup,,none,other_qwen3vl_evidence,not_scored,,,false,false,true,false,false,true,false,0,,not_targeted,high,Not a selected failure-position target.,,,
F13_semantic_audit:nao_environment_20260713_heavy_changes:1,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_baseline_table_inventory,preloaded_environment_kb_query,none,other_qwen3vl_evidence,pass,observe,false,false,false,true,false,false,true,false,0,,not_targeted,high,Not a selected failure-position target.,,,matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:2,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_lab_table_inventory,preloaded_environment_kb_query,none,other_qwen3vl_evidence,pass,observe,false,false,false,true,false,false,true,false,0,,not_targeted,high,Not a selected failure-position target.,,,matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:3,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_lab_sections_inventory,preloaded_environment_kb_query,none,other_qwen3vl_evidence,pass,observe,false,false,false,true,false,false,true,false,2,,not_targeted,high,Not a selected failure-position target.,,,matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:4,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_lab_sections_delivery,preloaded_environment_composite_execution,none,other_qwen3vl_evidence,pass,execute_no_clarification,true,true,true,true,false,true,true,true,2,,not_targeted,high,Not a selected failure-position target.,,plan_1783978259782 [plan_accepted step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object plan_completed plan_accepted step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object plan_completed],matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:5,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_kitchen_inventory,preloaded_environment_kb_query,none,other_qwen3vl_evidence,pass,observe,false,false,false,true,false,false,true,false,0,,not_targeted,high,Not a selected failure-position target.,,,matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:6,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_grouped_location_delivery,preloaded_environment_composite_execution,none,other_qwen3vl_evidence,pass,execute_no_clarification,true,true,true,true,false,true,true,true,2,,not_targeted,high,Not a selected failure-position target.,,plan_1783978387009 [plan_accepted step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object plan_completed plan_accepted step_started:bring_object step_succeeded:bring_object step_started:bring_object step_succeeded:bring_object plan_completed],matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:7,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_grouped_location_followup,preloaded_environment_kb_query,none,other_qwen3vl_evidence,pass,observe,false,false,false,true,false,false,true,false,0,,not_targeted,high,Not a selected failure-position target.,,,matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:8,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_iiia_floor_inventory,preloaded_environment_kb_query,none,other_qwen3vl_evidence,not_scored,observe,false,false,false,,,,false,,0,,not_targeted,high,Not a selected failure-position target.,,,stale KnowledgeCore guard contaminated the fixture
F13_semantic_audit:nao_environment_20260713_heavy_changes:9,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_iiia_kitchen_delivery,preloaded_environment_composite_execution,none,other_qwen3vl_evidence,pass,execute_no_clarification,true,true,true,true,false,true,true,false,0,,not_targeted,high,Not a selected failure-position target.,,plan_1783978503748 [plan_accepted step_started:bring_object step_succeeded:bring_object plan_completed plan_accepted step_started:bring_object step_succeeded:bring_object plan_completed],matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:10,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_gold_apple_handoff,preloaded_environment_multi_turn,none,other_qwen3vl_evidence,pass,execute_no_clarification,true,true,true,true,false,true,true,false,0,,not_targeted,high,Not a selected failure-position target.,,plan_1783978587491 [plan_accepted step_started:find_object step_succeeded:find_object step_started:pick_object step_succeeded:pick_object step_started:navigate_to step_succeeded:navigate_to step_started:bring_object step_succeeded:bring_object step_started:report_result step_succeeded:report_result plan_completed plan_accepted step_started:find_object step_succeeded:find_object step_started:pick_object step_succeeded:pick_object step_started:navigate_to step_succeeded:navigate_to step_started:bring_object step_succeeded:bring_object step_started:report_result step_succeeded:report_result plan_completed],matched expected trajectory
F13_semantic_audit:nao_environment_20260713_heavy_changes:11,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_environment_20260713_heavy_changes.json,environment,environment_gold_apple_followup,preloaded_environment_kb_query,none,other_qwen3vl_evidence,pass,observe,false,false,false,true,false,false,true,false,0,,not_targeted,high,Not a selected failure-position target.,,,matched expected trajectory
F13_semantic_audit:nao_fake_all_success_20260713_heavy_changes:1,F13_semantic_audit,2026-07-13,iiia:nao,,F13_semantic_audit/raw/nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_baseline_inventory,fake_deep_preflight,all_success,other_qwen3vl_evidence,pass,observe,false,false,false,true,false,false,true,false,0,,not_targeted,high,Not a selected failure-position target.,,,matched expected trajectory
