record_id,source_file,run_group,backend,model,case_set,case_name,category,status,expected_outcome,all_required_context,evidence_consistent,route_observed,planner_request_observed,execution_feedback_observed,clarification_observed,failure_observed,replan_observed,fallback_total,target_selection_count,executed_skill_count,spoken_text_count,reasons,attribution_class
capability_extreme#1,gemma4_31b/capability_extreme.json,other,ollama,gemma4:31b-cloud,capability_extreme,extreme_walk_pick_sit_report,capability_extreme_execution,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,4,2,matched expected trajectory,stack_coherent_success
capability_extreme#2,gemma4_31b/capability_extreme.json,other,ollama,gemma4:31b-cloud,capability_extreme,extreme_kneel_under_table_pick_report,capability_extreme_execution,fail,execute_no_clarification,true,true,true,true,false,false,true,false,0,1,0,1,"expected planner request and execution feedback | missing ordered skills: perform_motion,pick_object,perform_motion,report_result; observed=<none>",model_or_backend_variance
capability_extreme#3,gemma4_31b/capability_extreme.json,other,ollama,gemma4:31b-cloud,capability_extreme,extreme_dialogue_inventory,capability_extreme_dialogue,pass,dialogue_only,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
capability_extreme#4,gemma4_31b/capability_extreme.json,other,ollama,gemma4:31b-cloud,capability_extreme,extreme_dialogue_sit_stand_grab_return,capability_extreme_execution,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,4,2,matched expected trajectory,stack_coherent_success
capability_extreme#5,gemma4_31b/capability_extreme.json,other,ollama,gemma4:31b-cloud,capability_extreme,extreme_all_objects_visit_look_wave_sit,capability_extreme_execution,fail,execute_no_clarification,true,true,true,true,false,false,true,false,0,0,0,2,"expected planner request and execution feedback | planner evidence did not carry target_selection | missing ordered skills: perform_motion,navigate_to,look_at,wave_greet,perform_motion,report_result; observed=<none>",model_or_backend_variance
capability_extreme#6,gemma4_31b/capability_extreme.json,other,ollama,gemma4:31b-cloud,capability_extreme,extreme_pick_place_kneel_report,capability_extreme_execution,fail,execute_no_clarification,true,true,true,true,false,true,true,false,0,1,0,2,"asked for clarification despite complete fixture context | expected planner request and execution feedback | missing ordered skills: pick_object,place_object,perform_motion,report_result; observed=<none> | declared KB postcondition was not observed",model_or_backend_variance
capability_extreme#7,gemma4_31b/capability_extreme.json,other,ollama,gemma4:31b-cloud,capability_extreme,extreme_unreachable_object_recovery,capability_extreme_recovery,fail,execute_no_clarification,true,true,true,true,true,false,true,false,0,1,0,1,"missing ordered skills: perform_motion,pick_object,report_result; observed=<none>",stack_contract_or_runtime
environment#1,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_baseline_table_inventory,preloaded_environment_kb_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
environment#2,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_lab_table_inventory,preloaded_environment_kb_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
environment#3,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_lab_sections_inventory,preloaded_environment_kb_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
environment#4,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_lab_sections_delivery,preloaded_environment_composite_execution,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,2,matched expected trajectory,stack_coherent_success
environment#5,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_kitchen_inventory,preloaded_environment_kb_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
environment#6,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_grouped_location_delivery,preloaded_environment_composite_execution,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,2,matched expected trajectory,stack_coherent_success
environment#7,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_grouped_location_followup,preloaded_environment_kb_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
environment#8,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_iiia_floor_inventory,preloaded_environment_kb_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
environment#9,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_iiia_kitchen_delivery,preloaded_environment_composite_execution,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,2,matched expected trajectory,stack_coherent_success
environment#10,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_gold_apple_handoff,preloaded_environment_multi_turn,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,2,matched expected trajectory,stack_coherent_success
environment#11,gemma4_31b/environment.json,other,ollama,gemma4:31b-cloud,environment,environment_gold_apple_followup,preloaded_environment_kb_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
fake_deep_all_success#1,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_baseline_inventory,fake_deep_preflight,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
fake_deep_all_success#2,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_ordered_walk_report,fake_deep_composite_success,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,5,matched expected trajectory,stack_coherent_success
fake_deep_all_success#3,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,2,matched expected trajectory,stack_coherent_success
fake_deep_all_success#4,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_missing_object_recovery,fake_deep_absent_target_replan,pass,recover_or_truthful_failure,false,true,true,true,true,false,true,false,0,0,1,2,matched expected trajectory,stack_coherent_success
fake_deep_all_success#5,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_missing_recipient_clarification,fake_deep_missing_secondary_target,pass,clarification_expected,false,true,true,false,false,true,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
fake_deep_all_success#6,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_iiia_kitchen_delivery,fake_deep_maximal_location_delivery,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,2,matched expected trajectory,stack_coherent_success
fake_deep_all_success#7,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_iiia_floor_location_followup,fake_deep_post_effect_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
fake_deep_all_success#8,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_gold_apple_multiturn,fake_deep_multiturn_pronoun_handoff,pass,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,2,matched expected trajectory,stack_coherent_success
fake_deep_all_success#9,gemma4_31b/fake_deep_all_success.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_gold_apple_followup,fake_deep_post_effect_query,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
fake_deep_fail_once_navigation_full#1,gemma4_31b/fake_deep_fail_once_navigation_full.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_baseline_inventory,fake_deep_preflight,pass,observe,false,true,true,false,false,false,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
fake_deep_fail_once_navigation_full#2,gemma4_31b/fake_deep_fail_once_navigation_full.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_ordered_walk_report,fake_deep_composite_success,fail,execute_no_clarification,true,true,true,true,true,false,true,false,0,1,1,2,missing terminal or speech evidence | configured recoverable failure did not produce a replan,stack_contract_or_runtime
fake_deep_fail_once_navigation_full#3,gemma4_31b/fake_deep_fail_once_navigation_full.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,not_scored,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,2,2,configured fake failure for navigate_to was not applicable to dispatched skills,unclassified
fake_deep_fail_once_navigation_full#4,gemma4_31b/fake_deep_fail_once_navigation_full.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_missing_object_recovery,fake_deep_absent_target_replan,pass,recover_or_truthful_failure,false,true,true,true,true,false,true,false,0,0,1,2,matched expected trajectory,stack_coherent_success
fake_deep_fail_once_navigation_full#5,gemma4_31b/fake_deep_fail_once_navigation_full.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_missing_recipient_clarification,fake_deep_missing_secondary_target,pass,clarification_expected,false,true,true,false,false,true,false,false,0,0,0,1,matched expected trajectory,stack_coherent_success
fake_deep_fail_once_navigation_full#6,gemma4_31b/fake_deep_fail_once_navigation_full.json,other,ollama,gemma4:31b-cloud,fake_deep,fake_deep_iiia_kitchen_delivery,fake_deep_maximal_location_delivery,not_scored,execute_no_clarification,true,true,true,true,true,false,false,false,0,1,3,2,configured fake failure for navigate_to was not applicable to dispatched skills,unclassified
